hid,date,state,lastTouched,type,date_ts,lastTouched_ts,session_year,dr_changed,dr_changed_ts,subject
928,2016-03-30,CA,"2017-01-10 04:15:48",Regular,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
929,2016-03-30,CA,"2017-01-10 04:15:48",Regular,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
930,2016-03-30,CA,"2017-01-10 04:15:48",Informational,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
931,2016-03-30,CA,"2017-01-10 04:15:48",Regular,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
932,2016-03-30,CA,"2017-01-10 04:15:48",Budget,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
933,2016-03-30,CA,"2017-01-10 04:15:48",Budget,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
934,2016-03-30,CA,"2017-01-10 04:15:48",Budget,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
935,2016-03-30,CA,"2017-01-10 04:15:48",Regular,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
936,2016-03-31,CA,"2017-01-10 04:15:48",Regular,1459382400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
937,2016-03-31,CA,"2017-01-10 04:15:48",Regular,1459382400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
938,2016-03-29,CA,"2017-01-10 04:15:48",Regular,1459209600,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
941,2016-03-30,CA,"2017-01-10 04:15:48",Regular,1459296000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
942,2016-04-04,CA,"2017-01-10 04:15:48",Regular,1459728000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
943,2016-04-04,CA,"2017-01-10 04:15:48",Regular,1459728000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
944,2016-04-04,CA,"2017-01-10 04:15:48",Regular,1459728000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
945,2016-04-04,CA,"2017-01-10 04:15:48",Budget,1459728000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
946,2016-04-04,CA,"2017-01-10 04:15:48",Budget,1459728000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
947,2016-04-04,CA,"2017-01-10 04:15:48",Regular,1459728000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
948,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
949,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
950,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
951,2016-04-04,CA,"2017-01-10 04:15:48",Regular,1459728000,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
952,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
953,2016-04-05,CA,"2017-01-10 04:15:48",Regular,1459814400,1484021748,2015,"2017-01-10 04:15:48",1484021748,NULL
